,Googlepredicted_closing_price
884,1168.5154
885,1201.8901
886,1183.886
887,1175.15
888,1195.379
889,1161.0197
890,1167.6259
891,1173.994
892,1195.4156
893,1179.5161
894,1190.7921
895,1186.4221
896,1150.3485
897,1168.4324
898,1163.381
899,1169.1411
900,1190.0408
901,1184.9065
902,1167.7172
903,1180.2749
904,1207.4982
905,1200.9097
906,1203.3704
907,1203.4419
908,1217.4937
909,1230.418
910,1236.0817
911,1228.349
912,1226.8909
913,1229.0906
914,1235.1006
915,1226.2125
916,1231.6644
917,1215.0736
918,1244.7799
919,1235.5884
920,1223.5427
921,1216.9886
922,1202.4297
923,1175.0254
924,1186.4663
925,1204.7665
926,1204.3162
927,1188.0447
928,1201.6
929,1205.2384
930,1213.2334
931,1214.5251
932,1240.8276
933,1239.1542
934,1251.1857
935,1241.5845
936,1243.9199
937,1238.9105
938,1255.984
939,1255.8298
940,1261.9574
941,1286.1316
942,1256.5657
943,1260.5057
944,1255.0797
945,1270.1252
946,1286.0575
947,1286.8827
948,1288.0228
949,1304.6519
950,1305.0137
951,1294.2856
952,1294.6268
953,1292.3368
954,1306.4729
955,1328.4742
956,1312.9816
957,1311.8153
958,1296.8604
959,1296.8485
960,1289.2585
961,1302.1345
962,1307.06
963,1307.695
964,1299.8668
965,1285.445
966,1291.4618
967,1314.9669
968,1320.9458
969,1335.5907
970,1336.5869
971,1338.6398
972,1338.053
973,1343.2843
974,1339.7393
975,1354.3573
976,1345.4904
977,1345.98
978,1347.9529
979,1341.2632
980,1341.7472
981,1335.5491
982,1353.8585
983,1341.9587
984,1330.067
985,1330.7905
986,1360.4396
987,1349.7831
988,1389.3812
989,1380.0062
990,1397.356
991,1407.7157
992,1417.6855
993,1426.0177
994,1416.346
995,1426.9607
996,1435.9484
997,1465.0885
998,1463.9844
999,1469.0132
1000,1467.1364
1001,1447.1799
1002,1417.093
1003,1439.3678
1004,1438.3684
1005,1440.0472
1006,1417.5137
1007,1475.3187
1008,1420.9357
1009,1441.0598
1010,1457.191
1011,1460.6879
1012,1492.0415
1013,1484.9487
1014,1499.7944
1015,1490.1853
1016,1500.0852
1017,1494.5747
1018,1504.3589
1019,1492.2145
1020,1462.612
1021,1402.5494
1022,1376.9304
1023,1380.1455
1024,1303.917
1025,1338.5848
1026,1377.103
1027,1329.432
1028,1387.4276
1029,1303.5602
1030,1301.7622
1031,1208.8915
1032,1283.4639
1033,1203.416
1034,1122.5059
1035,1220.2897
1036,1078.8989
1037,1127.5105
1038,1092.1974
1039,1116.1909
1040,1072.3741
1041,1060.0251
1042,1130.5875
1043,1098.5209
1044,1162.7242
1045,1107.6974
1046,1149.104
1047,1157.3884
1048,1105.6859
1049,1121.4082
1050,1094.3292
1051,1183.4845
1052,1177.8971
1053,1210.6132
1054,1207.7312
1055,1216.244
1056,1266.0095
1057,1255.12
1058,1261.9196
1059,1278.616
1060,1260.477
1061,1213.7354
1062,1261.9944
1063,1266.5981
1064,1275.6418
1065,1271.4321
1066,1230.3208
1067,1342.6675
1068,1332.147
1069,1318.6707
1070,1322.7623
1071,1344.3096
1072,1337.754
1073,1366.8308
1074,1377.2043
1075,1394.0844
1076,1363.4609
1077,1342.7152
1078,1348.1414
1079,1363.0112
1080,1373.4348
1081,1363.326
1082,1399.9508
1083,1388.1392
1084,1402.4265
1085,1404.0403
1086,1406.1187
1087,1404.1996
1088,1416.9521
1089,1417.1499
1090,1426.2466
1091,1421.207
1092,1398.3748
1093,1428.2959
1094,1428.4136
1095,1442.719
1096,1449.1968
1097,1386.2675
1098,1407.2473
1099,1402.2142
1100,1431.1289
1101,1433.9926
1102,1421.8555
1103,1419.2557
1104,1438.3217
1105,1447.3251
1106,1414.9081
1107,1431.1625
1108,1341.1343
1109,1394.3116
1110,1394.0353
1111,1428.4795
1112,1449.2123
1113,1481.0929
1114,1464.5884
1115,1481.6973
1116,1489.0859
1117,1520.8749
1118,1482.2719
1119,1504.0823
1120,1485.273
1121,1497.7725
1122,1489.4573
1123,1545.3483
1124,1522.8578
1125,1546.5533
1126,1481.4019
1127,1495.9564
1128,1501.7588
1129,1474.1293
1130,1503.8093
1131,1503.2682
1132,1458.9584
1133,1459.1543
1134,1443.5515
1135,1457.2799
1136,1480.4503
1137,1472.4364
1138,1478.742
1139,1459.1925
1140,1491.0121
1141,1493.22
1142,1486.3928
1143,1497.6656
1144,1535.427
1145,1516.283
1146,1560.6797
1147,1543.4868
1148,1561.8494
1149,1573.0773
1150,1617.7664
1151,1587.0204
1152,1611.4159
1153,1587.0126
1154,1624.9407
1155,1678.4233
1156,1580.0048
1157,1563.3224
1158,1490.9973
1159,1535.0621
1160,1491.5021
1161,1500.5708
1162,1491.5138
1163,1519.7429
1164,1491.3792
1165,1476.4391
1166,1438.8645
1167,1416.0656
1168,1451.688
1169,1392.6006
1170,1423.065
1171,1426.8066
1172,1451.7714
1173,1451.8712
1174,1454.9211
1175,1474.0999
1176,1437.3386
1177,1475.1313
1178,1428.2968
1179,1450.4907
1180,1465.4208
1181,1496.5625
1182,1546.8419
1183,1540.3042
1184,1543.2207
1185,1529.2667
1186,1546.1948
1187,1500.0448
1188,1535.6852
1189,1558.6781
1190,1581.8839
1191,1604.2692
1192,1548.2687
1193,1578.9087
1194,1472.2866
1195,1555.9136
1196,1575.7828
1197,1591.1526
