,Applepredicted_closing_price
1129,95.36783
1130,105.45737
1131,106.069824
1132,108.60301
1133,107.70925
1134,111.9987
1135,108.12683
1136,111.39665
1137,106.521255
1138,111.84226
1139,111.385895
1140,112.939156
1141,111.761055
1142,113.278534
1143,112.70597
1144,115.622696
1145,120.313
1146,121.140236
1147,120.7462
1148,122.143684
1149,120.2886
1150,120.91113
1151,124.02495
1152,128.07573
1153,125.09101
1154,117.410805
1155,118.163376
1156,109.41931
1157,115.924866
1158,109.34766
1159,111.41722
1160,112.14281
1161,113.18936
1162,109.78026
1163,108.95565
1164,105.09225
1165,108.84922
1166,109.08766
1167,105.811325
1168,107.0795
1169,109.975426
1170,112.42697
1171,111.561874
1172,113.58362
1173,113.653206
1174,110.695435
1175,114.31308
1176,109.90992
1177,113.57158
1178,111.50051
1179,114.93687
1180,120.255035
1181,116.82997
1182,118.57268
1183,116.54037
1184,116.16543
1185,112.91508
1186,115.094376
1187,113.416306
1188,113.50921
1189,112.29256
1190,112.72676
1191,113.78451
1192,108.854004
1193,113.73866
1194,105.790054
1195,108.55539
1196,107.57871
1197,113.23628
1198,115.35444
